participant_id	sex	age	handedness	species	strain	strain_rrid
sub-001	F	n/a	n/a	homo sapiens	n/a	n/a
sub-002	M	n/a	n/a	homo sapiens	n/a	n/a
sub-003	F	n/a	n/a	homo sapiens	n/a	n/a
sub-004	M	n/a	n/a	homo sapiens	n/a	n/a
sub-005	F	n/a	n/a	homo sapiens	n/a	n/a
sub-006	M	n/a	n/a	homo sapiens	n/a	n/a
sub-007	F	n/a	n/a	homo sapiens	n/a	n/a
sub-008	M	n/a	n/a	homo sapiens	n/a	n/a
sub-009	F	n/a	n/a	homo sapiens	n/a	n/a
sub-010	M	n/a	n/a	homo sapiens	n/a	n/a
sub-011	F	n/a	n/a	homo sapiens	n/a	n/a
sub-012	M	n/a	n/a	homo sapiens	n/a	n/a
sub-013	F	n/a	n/a	homo sapiens	n/a	n/a
sub-014	M	n/a	n/a	homo sapiens	n/a	n/a
sub-015	M	n/a	n/a	homo sapiens	n/a	n/a
